"","Country","year","gdp","rank"
"191","Korea","2009",800.294,15
"192","Mexico","2009",866.336,14
"193","Netherlands","2009",789.675,16
"194","Russia","2009",1254.65,11
"195","Spain","2009",1438.36,9
"196","Turkey","2009",593.533,17
"197","United Kingdom","2009",2198.16,6
"198","United States","2009",14266.2,1
"199","Australia","2010",982.826,13
"200","Brazil","2010",1724.35,8
"201","Canada","2010",1438.99,10
"202","China","2010",5263.33,2
"203","France","2010",2745.49,5
"204","Germany","2010",3325.76,4
"205","India","2010",1339.49,12
"206","Indonesia","2010",568.589,18
"207","Italy","2010",2172.44,7
"208","Japan","2010",5187.46,3
"209","Korea","2010",855.384,15
"210","Mexico","2010",952.575,14
"211","Netherlands","2010",823.64,16
"212","Russia","2010",1363.98,11
"213","Spain","2010",1475.49,9
"214","Turkey","2010",590.701,17
"215","United Kingdom","2010",2353.03,6
"216","United States","2010",14704.21,1
"217","Australia","2012",1039.69,14
"218","Brazil","2012",1924.29,8
"219","Canada","2012",1584.48,10
"220","China","2012",6524.23,2
"221","France","2012",2907.44,5
"222","Germany","2012",3397.87,4
"223","India","2012",1583.43,11
"224","Indonesia","2012",661.113,17
"225","Italy","2012",2246.55,7
"226","Japan","2012",5410.7,3
"227","Korea","2012",1005.74,15
"228","Mexico","2012",1097.85,13
"229","Netherlands","2012",854.871,16
"230","Russia","2012",1706.34,9
"231","Spain","2012",1506.2,12
"232","Turkey","2012",638.419,18
"233","United Kingdom","2012",2611.27,6
"234","United States","2012",16008.51,1
"235","Australia","2013",1078.91,15
"236","Brazil","2013",2036.24,8
"237","Canada","2013",1651.52,11
"238","China","2013",7287.76,2
"239","France","2013",2998.97,5
"240","Germany","2013",3443.06,4
"241","India","2013",1740.41,10
"242","Indonesia","2013",716.887,17
"243","Italy","2013",2296.21,7
"244","Japan","2013",5591.43,3
"245","Korea","2013",1087.25,14
"246","Mexico","2013",1186.61,13
"247","Netherlands","2013",876.58,16
"248","Russia","2013",1896.68,9
"249","Spain","2013",1534.01,12
"250","Turkey","2013",673.753,18
"251","United Kingdom","2013",2758.8,6
"252","United States","2013",16729.38,1
"253","Australia","2014",1125.82,15
"254","Brazil","2014",2155.68,8
"255","Canada","2014",1713.41,11
"256","China","2014",8283.35,2
"257","France","2014",3089.18,5
"258","Germany","2014",3485.9,4
"259","India","2014",1908.33,10
"260","Indonesia","2014",777.89,17
"261","Italy","2014",2355.35,7
"262","Japan","2014",5791.63,3
"263","Korea","2014",1167.69,14
"264","Mexico","2014",1273.56,13
"265","Netherlands","2014",902.03,16
"266","Russia","2014",2127.58,9
"267","Spain","2014",1567.79,12
"268","Turkey","2014",710.833,18
"269","United Kingdom","2014",2919.12,6
"270","United States","2014",17419.35,1
"271","Australia","2015",1240.8,12
"272","Brazil","2015",1799.61,9
"273","Canada","2015",1572.78,10
"274","China","2015",11384.76,2
"275","France","2015",2422.65,6
"276","Germany","2015",3371,4
"277","India","2015",2182.58,7
"278","Indonesia","2015",872.615,16
"279","Italy","2015",1819.05,8
"280","Japan","2015",4116.24,3
"281","Korea","2015",1392.95,11
"282","Mexico","2015",1161.48,15
"283","Netherlands","2015",750.782,17
"284","Russia","2015",1235.86,13
"285","Spain","2015",1221.39,14
"286","Turkey","2015",722.219,18
"287","United Kingdom","2015",2864.9,5
"288","United States","2015",17968.2,1
"289","Australia","2016",1253,13
"290","Brazil","2016",1672.9,9
"291","Canada","2016",1592.35,10
"292","China","2016",12253.98,2
"293","France","2016",2488.38,6
"294","Germany","2016",3472.51,4
"295","India","2016",2384.73,7
"296","Indonesia","2016",875.75,16
"297","Italy","2016",1867.57,8
"298","Japan","2016",4170.64,3
"299","Korea","2016",1450.05,11
"300","Mexico","2016",1187.05,14
"301","Netherlands","2016",782.934,17
"302","Russia","2016",1178.92,15
"303","Spain","2016",1265.12,12
